codgeo;libgeo;p21_pop
49326;Sarrigné;848
63165;Giat;793
35157;Le Loroux;626
62823;Torcy;174
74173;Megève;2961
17362;Saint-Martial-de-Mirambeau;303
58122;Garchy;426
80094;Berteaucourt-lès-Thennes;478
17484;Port-des-Barques;1761
14622;Saint-Martin-de-Blagny;122
31171;Espanès;285
28149;La Ferté-Vidame;566
33480;Saint-Sulpice-de-Faleyrens;1319
76599;Saint-Léger-du-Bourg-Denis;3641
55439;Ronvaux;100
58190;Neuffontaines;99
75111;Paris 11e  Arrondissement;142583
51218;Val-de-Vière;130
62786;Selles;312
32307;Pavie;2510
14484;Ouilly-du-Houley;252
49308;Saint-Melaine-sur-Aubance;2201
07012;Arcens;370
76062;Beaumont-le-Hareng;262
62079;Bancourt;85
48098;Molezon;97
35010;Baguer-Pican;1771
12191;Privezac;334
08364;Rilly-sur-Aisne;126
85226;Saint-Hilaire-de-Riez;12682
80512;Mareuil-Caubert;829
35265;Saint-Domineuc;2553
56254;Trédion;1349
34072;Celles;27
04158;Quinson;408
71561;Vauban;230
80625;Pierrepont-sur-Avre;1495
50549;Saint-Sauveur-la-Pommeraye;404
50372;Neufmesnil;176
42137;Margerie-Chantagret;823
65189;Gayan;272
14744;Vienne-en-Bessin;277
76572;Saint-Denis-d'Aclon;125
76684;Tancarville;1218
12234;Sainte-Juliette-sur-Viaur;625
31448;Rebigue;482
16053;Bors (Canton de Baignes-Sainte-Radegonde);120
25103;Busy;662
77329;Nanteau-sur-Lunain;689
60549;Rotangy;227
36239;Vigoux;466
71554;Varenne-l'Arconce;111
69086;Fleurieux-sur-l'Arbresle;2287
59431;Nieppe;7606
36199;Sainte-Lizaigne;1116
32028;Barcugnan;105
33293;Montussan;3451
57661;Sturzelbronn;170
57245;Gavisse;581
25001;Abbans-Dessous;246
11290;Plaigne;119
74209;Peillonnex;1363
57177;Dieuze;2794
22205;Plorec-sur-Arguenon;422
84001;Althen-des-Paluds;2802
82142;Pompignan;1721
80824;Wiencourt-l'Équipée;258
81252;Saint-Germier;157
43017;Azérat;295
27248;Folleville;194
46009;Assier;684
61242;Le Mage;216
57020;Ancerville;301
07039;Bozas;257
10299;Pouan-les-Vallées;507
02581;Paars;317
76046;Auzouville-sur-Ry;689
29299;Tréouergat;327
52395;Poinson-lès-Grancey;57
76505;Pommereux;96
88088;La Chapelle-aux-Bois;674
42049;Changy;670
33460;Saint-Pey-de-Castets;596
02221;Coupru;156
24158;Dussac;417
61170;Fleuré;202
12185;Pont-de-Salars;1645
17313;Saint-Bris-des-Bois;386
59617;Vieux-Mesnil;637
55389;Nubécourt;244
14243;Équemauville;1568
38207;Lavaldens;158
70413;Plancher-Bas;1863
68326;Sternenberg;149
50533;Saint-Patrice-de-Claids;178
10131;Droupt-Saint-Basle;348
25572;Trouvans;102
79223;Puihardy;63
31525;Salles-sur-Garonne;598
25162;Corcelles-Ferrières;213
80420;Harponville;174
06051;La Croix-sur-Roudoule;99
27310;Hacqueville;412
27180;Courcelles-sur-Seine;2140
74123;Faverges;7581
75103;Paris 3e  Arrondissement;32793
28283;Nottonville;279
51529;Selles;437
87080;Jouac;181
71147;Cortevaix;251
57312;Helstroff;487
84096;Rasteau;785
2A018;Arbellara;155
49008;Angrie;922
12038;Brousse-le-Château;164
62150;Boisjean;498
87082;Ladignac-le-Long;1144
33413;Saint-Germain-du-Puch;2276
08415;Sery;324
31052;Beaumont-sur-Lèze;1620
10105;Courcelles-sur-Voire;25
57268;Guébling;124
07148;Malbosc;145
49241;Le Plessis-Grammoire;2622
29278;Spézet;1748
80582;Namps-Maisnil;1005
54082;Boncourt;172
25463;Pont-de-Roide-Vermondans;4030
70256;Fresse;704
65112;Bun;154
29023;Carantec;3236
65143;Chelle-Spou;109
80034;Athies;605
38225;Méaudre;3075
57371;Haute-Kontz;568
62725;Royon;133
34333;Vic-la-Gardiole;3416
37246;Sennevières;212
70118;Chambornay-lès-Bellevaux;190
44210;Trignac;8106
09313;Tourtouse;162
70178;La Côte;526
70102;Brussey;280
50417;Quettehou;1786
60108;Briot;293
89145;Domecy-sur-Cure;397
39373;Les Moussières;159
03021;Bègues;226
57224;Folschviller;3957
25039;Avoudrey;941
32065;Le Brouilh-Monbert;240
59517;Les Rues-des-Vignes;748
46236;Reilhaguet;148
55572;Vittarville;90
02070;Bernot;438
76095;Bihorel;8199
27544;Saint-Germain-de-Fresney;200
42125;Luré;138
63151;Escoutoux;1341
27419;Mouettes;736
16298;Saint-Amant-de-Nouère;354
64366;Mascaraàs-Haron;116
67192;Herbsheim;954
46136;Labastide-du-Vert;273
21136;Champagny;26
83086;Le Muy;9646
52250;Joinville;2972
53077;Cossé-le-Vivien;3246
78672;Villennes-sur-Seine;5628
39066;Bornay;180
40237;Préchacq-les-Bains;789
72005;Ancinnes;938
30091;Congénies;1645
90049;Foussemagne;911
03251;Saint-Plaisir;407
33301;Naujan-et-Postiac;626
10055;Bourguignons;255
60593;Saint-Pierre-lès-Bitry;141
27368;Lignerolles;349
65184;Galez;171
78397;Le Mesnil-Saint-Denis;6929
35356;Vignoc;2202
57674;Tincry;173
62647;Le Parcq;728
57614;Saint-Jean-Kourtzerode;700
59180;Le Doulieu;1454
35353;Vezin-le-Coquet;6337
05102;La Piarre;87
02595;Passy-sur-Marne;138
63016;Augerolles;872
63424;Surat;601
62337;Flers;220
01421;Torcieu;744
35161;Louvigné-de-Bais;1887
14488;Ouistreham;9331
21014;Antheuil;62
2A189;Olmeto;1241
64121;Beyrie-en-Béarn;193
65288;Lubret-Saint-Luc;58
86257;Savigny-sous-Faye;375
63420;Seychalles;789
05078;Monêtier-Allemont;290
25243;Flangebouche;826
27281;Gaudreville-la-Rivière;221
14300;Gerrots;51
46284;Saint-Michel-Loubéjou;410
08296;Montcheutin;111
50120;Chanteloup;373
25326;Lantenne-Vertière;528
83119;Saint-Tropez;3578
34237;Roujan;2260
08365;Rimogne;1330
57416;Lorry-Mardigny;671
72006;Arçonnay;1890
72350;Teloché;3053
09235;Prat-Bonrepaux;857
41241;Selles-Saint-Denis;1341
10015;Aubeterre;385
57488;Moussey;562
54258;Hénaménil;147
66134;Passa;1039
54558;Velaine-sous-Amance;282
48074;Hures-la-Parade;221
02820;Viry-Noureuil;1684
47115;Guérin;249
82040;Cayriech;277
22024;Calanhel;227
36178;Saint-Aigny;270
33326;Pleine-Selve;218
50493;Saint-Jean-des-Champs;1496
41208;Saint-Étienne-des-Guérets;114
15261;Le Vigean;814
50352;Montreuil-sur-Lozon;340
70045;Avrigney-Virey;422
10305;Prémierfait;89
45294;Saint-Michel;143
77046;Boulancourt;332
68222;Muespach-le-Haut;1110
38133;Coublevie;5339
24128;Comberanche-et-Épeluche;164
2B121;Galéria;379
72246;Prévelles;197
89245;Marsangy;847
24143;Couze-et-Saint-Front;722
40044;Biaudos;988
07254;Saint-Julien-du-Serre;869
68215;Montreux-Vieux;914
28235;Marchezais;406
01057;Boz;510
14623;Saint-Martin-de-Fontenay;2515
02610;Pommiers;750
2B316;Santa-Reparata-di-Balagna;1004
19048;Le Chastang;347
02320;Fontaine-lès-Clercs;229
52352;Ninville;62
23044;Chambon-Sainte-Croix;84
28180;Gilles;490
45284;Saint-Jean-de-Braye;21700
25009;Aïssey;163
22240;Plumaugat;1130
61444;Saint-Philbert-sur-Orne;114
25574;Uzelle;179
57447;Marly;9971
55583;Woël;208
50276;Lolif;599
46049;Calvignac;228
48105;Naussac;371
41198;Saint-Aignan;2821
17418;Salignac-sur-Charente;608
971106;Bouillante;6634
38503;La Terrasse;2481
28255;Moinville-la-Jeulin;163
2B059;Canavaggia;116
27325;Hecmanville;196
89209;Jouy;511
14715;Trouville-sur-Mer;4622
59608;Vendegies-sur-Écaillon;1118
48064;Fournels;369
35308;Saint-Pierre-de-Plesguen;4422
44021;Bourgneuf-en-Retz;5003
54134;Colmey;241
08444;Tétaigne;128
66095;Latour-de-Carol;461
88274;Longchamp-sous-Châtenois;82
25282;Goux-les-Usiers;791
42086;Écoche;504
23239;Saint-Sébastien;627
76728;La Vaupalière;1192
54557;Velaine-en-Haye;2350
66124;Font-Romeu-Odeillo-Via;1780
25115;Champagney;274
63304;Roche-d'Agoux;112
89460;Villeneuve-la-Guyard;3464
91085;Boissy-sous-Saint-Yon;3828
09290;Sentein;164
22280;Saint-Carné;1096
41108;Lancôme;122
70514;Valay;659
52538;Villiers-sur-Suize;261
32348;Roquelaure;568
59169;Damousies;206
65007;Andrest;1360
43027;Berbezit;44
61055;Boucé;583
42142;Merle-Leignec;324
24154;Douchapt;346
76287;Fresquiennes;1063
51455;Reims-la-Brûlée;219
65433;Soues;3023
14396;Maltot;1028
71105;Charnay-lès-Mâcon;7969
71234;Huilly-sur-Seille;352
21070;Bévy;136
29170;Plomelin;4187
42325;Vendranges;384
15126;Molèdes;79
08395;Saint-Pierre-sur-Vence;146
36045;Châtillon-sur-Indre;2304
89084;Charentenay;282
35122;La Gouesnière;1966
21239;Échenon;771
89283;Ouanne;589
22267;Rouillac;396
18118;Jouet-sur-l'Aubois;1308
32337;Puységur;73
28027;La Bazoche-Gouet;1215
86174;Naintré;5944
21401;Meloisey;321
36176;Ruffec;575
57286;Halstroff;304
67138;Fessenheim-le-Bas;583
54176;Einville-au-Jard;1081
76008;Ancourt;623
10345;Saint-Léger-sous-Brienne;384
01159;Feillens;3381
77402;Saint-Barthélemy;338
68287;Rouffach;4186
12082;La Couvertoirade;189
69027;Brignais;12388
33254;Loupiac-de-la-Réole;542
56208;Saint-Brieuc-de-Mauron;297
90058;Lachapelle-sous-Rougemont;569
39511;Sergenaux;63
38387;Saint-Geoirs;496
57505;Niderviller;1172
89131;Cruzy-le-Châtel;227
54430;Pompey;4836
17228;Médis;3036
71035;Bissy-la-Mâconnaise;203
74117;Étercy;930
50198;Geffosses;489
06023;Breil-sur-Roya;2206
14006;Amayé-sur-Orne;1061
25309;Houtaud;1178
26091;Chauvac-Laux-Montaux;43
83066;Ginasservis;1983
06025;Le Broc;1422
61413;Saint-Lambert-sur-Dive;135
91619;Torfou;278
59570;Socx;890
65164;Escoubès-Pouts;98
22085;Kerbors;286
77480;Valence-en-Brie;1040
86034;Bouresse;621
17353;Saint-Laurent-de-la-Prée;2271
53111;La Haie-Traversaine;463
50151;Créances;2091
40016;Aubagnan;267
51398;La Neuville-aux-Larris;189
58079;Clamecy;3593
33357;Roaillan;1777
60104;Breteuil;4156
77308;Montgé-en-Goële;720
28029;Bazoches-les-Hautes;323
37024;Benais;932
25054;Berche;541
81261;Saint-Lieux-lès-Lavaur;1195
56084;Le Hézo;865
60025;Attichy;1853
17171;Geay;778
2B013;Alzi;25
59473;Preux-au-Sart;304
88187;Frénois;51
22333;Saint-Vran;760
